field,value,source_or_note
release,GBD Study 2023 via GBD Compare Data Visualization,"Exact citation string is embedded as the trailing metadata record in every local GBD CSV"
official_citation,"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2023. Seattle, WA: IHME, University of Washington, 2025.","https://vizhub.healthdata.org/gbd-compare/"
location,United States of America,"Local CSV Location field"
years,1990-2023,"Local CSV Year field; 34 annual observations per component-measure series after excluding the trailing citation record"
sex,Both,"Local CSV Sex field"
age,Age-standardized,"Local CSV Age field"
metric,Rate,"Measure fields report rates per 100,000"
measures,"Prevalence; Incidence; Deaths; DALYs","Six prespecified components x four measures = 24 series"
causes,"Ischemic heart disease; Stroke; Atrial fibrillation and flutter; Lower extremity peripheral arterial disease; Diabetes Mellitus; Chronic Kidney Disease","Nonadditive components"
uncertainty,"Lower bound; Upper bound","Retained in local CSVs for each annual estimate"
derived_trend,"Log-linear EAPC with one-lag HAC confidence interval; Durbin-Watson; Ljung-Box lag-1 P; quadratic-term P","Computed by Scripts/compute_gbd_component_trends.py"
source_export_type,"GBD Compare Data Visualization CSV export","The trailing citation record identifies the source and access date as 6/26/2026"
original_query_receipt,Not present in the local archive,"The CSV fields recover the analytic filters but not an internal query ID or saved visualization state"
download_receipt,"Citation metadata embedded in each CSV; standalone receipt not present","The export citation records access on 6/26/2026"
population_label,All Population,"Local CSV Population field; all-population and age-standardized are distinct fields"
cause_id_status,Not present in local CSVs,"Cause labels are retained exactly as exported; do not infer numeric cause IDs"
cause_hierarchy_status,Not present in local archive,"No hierarchy level or parent-cause metadata were supplied with the CSVs"
rate_type,Age-standardized rate,"Local CSV Age field is Age-standardized and Measure fields are rates per 100,000"
local_archive_timestamp,2026-06-26,"Matches the access date in the embedded IHME citation row"
trailing_metadata_record,"One nonannual citation row per GBD CSV","Excluded by the Year filter before trend computation and retained as provenance evidence"
reproducibility_boundary,"Analytic filters are directly evidenced by the exported fields; numeric cause IDs, internal query ID, UI definition, and saved query state are not encoded","Do not infer these absent fields"
